Altium Designer Pick and Place Locations
D:\GitHub\USB2.0_HUB\USB_2.0_HUB\Project Outputs for USB_2.0_HUB\Pick Place\Pick Place for USB2.0_HUB.csv

========================================================================================================================
File Design Information:

Date:       24/04/26
Time:       15:21
Revision:   39c116426ac17d2d7c93367b2057242e95d7c80b
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C10","100n","TopLayer","CAP_0603","3315.000","565.512","270","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C9","100n","BottomLayer","CAP_0603","1100.000","1315.512","270","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C8","100n","TopLayer","CAP_0603","2410.000","1029.488","90","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C7","2u2","BottomLayer","CAP_0603","985.512","1215.000","180","2.2uF ±10% 16V Ceramic Capacitor X7R 0603"
"C6","2u2","BottomLayer","CAP_0603","985.512","1478.242","180","2.2uF ±10% 16V Ceramic Capacitor X7R 0603"
"C5","2u2","BottomLayer","CAP_0603","2110.000","590.946","270","CAP CER 2.2uF 16V X7R 0603"
"C4","100n","TopLayer","CAP_0603","2410.000","1155.512","270","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C3","2u2","BottomLayer","CAP_0603","880.512","755.000","180","CAP CER 2.2uF 16V X7R 0603"
"C2","2u2","BottomLayer","CAP_0603","2085.512","690.000","180","CAP CER 2.2uF 16V X7R 0603"
"C1","2u2","BottomLayer","CAP_0603","749.488","755.000","0","CAP CER 2.2uF 16V X7R 0603"
